,horizon,mse,rmse,mae,mape,mdape,smape,coverage
30,48 days,256.50585716291283,16.0158002348591,12.000154592430446,0.1931579333903275,0.13079245613652285,0.22864270131335448,0.6111111111111112
31,49 days,260.8019345133321,16.149363285075115,12.08376009380368,0.19425718665027542,0.1327261803601097,0.23030061851769407,0.6088888888888889
32,50 days,264.22541839430795,16.25501210071244,12.152266067438232,0.19531270772721446,0.1327261803601097,0.23181089228084203,0.6088888888888889
33,51 days,268.5299274837794,16.386882787271634,12.23118608109452,0.19650270668580222,0.13390688710610724,0.23344065014177906,0.6088888888888889
34,52 days,272.46687740942093,16.506570734390014,12.307936440090904,0.19769733995312422,0.13419260228317414,0.23493765466729902,0.6066666666666667
35,53 days,276.4555745721156,16.626953255846832,12.381773372218298,0.19869172909521401,0.1346959193363899,0.23629366482754477,0.6022222222222222
36,54 days,280.5326971614344,16.749110339401145,12.43323827823022,0.19999476092916477,0.1348186238337136,0.23753296034254592,0.5955555555555555
37,55 days,282.7640340405484,16.815589018543132,12.443546330756446,0.20060328531295255,0.1344719351719545,0.23819919024495095,0.5977777777777777
38,56 days,284.308084013964,16.861437780152794,12.443592993379623,0.20089052079542416,0.1344719351719545,0.2385029089840066,0.5955555555555555
39,57 days,285.224758066897,16.888598463664678,12.420729153600352,0.2008694654226366,0.1344719351719545,0.2384308612160193,0.5911111111111111
40,58 days,287.3698178053994,16.95198565966239,12.447206307861888,0.20138133408669623,0.1344719351719545,0.23888870149305486,0.5888888888888889
41,59 days,290.0136507960552,17.029787162382718,12.450431788599714,0.20156782757490171,0.1346959193363899,0.23887296768409277,0.5888888888888889
42,60 days,292.2357219005765,17.09490338962395,12.456654272492443,0.2019365283268147,0.13454020915389603,0.2390916421199428,0.5911111111111111
43,61 days,294.7193542097714,17.167392178481023,12.459446978929014,0.20272666936010347,0.1348186238337136,0.23935532092392878,0.5888888888888889
44,62 days,297.220892586202,17.240095492374802,12.488117824547912,0.20358528083154812,0.13513546729467757,0.23996630061267626,0.5866666666666667
45,63 days,300.1303186028112,17.324269641252158,12.522461016026897,0.20442314281088014,0.13802792093052973,0.240606661153634,0.5844444444444444
46,64 days,302.1135679620325,17.38141444077646,12.52453199553893,0.20497760899848705,0.13802792093052973,0.24098365685766732,0.5866666666666667
